Desert,State/Territory,Area (km2),Area (miles2),Area rank,% of Australia
Great Victoria Desert,South AustraliaWestern Australia,"348,750 km2","134,650 sq mi",1,4.5%
Great Sandy Desert,Northern TerritoryWestern Australia,"267,250 km2","103,190 sq mi",2,3.5%
Tanami Desert,Northern TerritoryWestern Australia,"184,500 km2","71,200 sq mi",3,2.4%
Simpson Desert,Northern TerritoryQueenslandSouth Australia,"176,500 km2","68,100 sq mi",4,2.3%
Gibson Desert,Western Australia,"156,000 km2","60,000 sq mi",5,2.0%
Little Sandy Desert,Western Australia,"111,500 km2","43,100 sq mi",6,1.5%
Strzelecki Desert,New South WalesQueenslandSouth Australia,"80,250 km2","30,980 sq mi",7,1.0%
Sturt Stony Desert,QueenslandSouth Australia,"29,750 km2","11,490 sq mi",8,0.3%
Tirari Desert,South Australia,"15,250 km2","5,890 sq mi",9,0.2%
Pedirka Desert,South Australia,"1,250 km2",480 sq mi,10,0.016%
